City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,hualmay,44,PE,1520996851,83,-11.1,-77.61,65.51,3.38
135,saskylakh,32,RU,1520996852,46,71.97,114.09,-28.63,4.38
136,auki,0,NG,1520996852,51,12.18,6.51,61.82,2.04
137,laguna,75,MX,1520992020,47,27.52,-110.01,75.2,3.36
138,high level,20,CA,1520992800,52,58.52,-117.13,41.0,6.4
139,sidi ali,32,DZ,1520996854,82,36.1,0.42,54.71,4.05
140,grand gaube,75,MU,1520992800,78,-20.01,57.66,80.6,18.34
141,trairi,68,BR,1520996855,100,-3.28,-39.27,81.08,11.99
142,comodoro rivadavia,0,AR,1520992800,42,-45.87,-67.48,64.4,27.51
143,el salto,5,MX,1520995560,23,20.52,-103.18,75.2,11.41
144,caravelas,76,BR,1520996735,100,-17.73,-39.27,79.73,13.33
145,yenagoa,20,NG,1520996856,95,4.92,6.26,76.31,6.4
146,antofagasta,0,CL,1520996400,77,-23.65,-70.4,66.2,2.37
147,bombay,90,US,1520995200,92,44.94,-74.57,30.2,8.05
148,jiazi,75,CN,1520992800,100,19.61,110.49,69.8,2.24
149,sivas,90,TR,1520992200,81,39.75,37.01,42.8,10.29
150,shimoda,0,JP,1520992800,55,34.7,138.93,66.2,18.34
151,nizhneangarsk,0,RU,1520996859,64,55.78,109.57,1.79,2.71
152,mount isa,0,AU,1520994600,20,-20.73,139.49,93.2,12.75
153,jhang,75,PK,1520994600,72,33.67,72.7,62.6,13.87
154,anadyr,75,RU,1520994600,76,64.73,177.51,-4.01,4.47
155,geraldton,20,CA,1520992800,66,49.72,-86.95,10.4,3.36
156,senno,92,RU,1520992800,100,57.76,27.95,39.2,8.95
157,lebu,64,ET,1520996861,79,8.96,38.73,50.03,2.59
158,clearwater,90,US,1520994900,71,27.97,-82.8,55.4,10.76
159,yongchang,0,CN,1520996862,32,38.06,102.59,55.79,3.94
160,tokur,64,RU,1520996862,58,53.13,132.9,15.74,5.17
161,eyl,48,SO,1520996863,100,7.98,49.82,73.16,6.06
162,jam sahib,0,PK,1520992800,72,26.3,68.63,64.4,6.93
163,luba,0,PH,1520996864,47,17.32,120.7,84.77,3.71
164,luan,0,CH,1520994000,94,46.36,6.98,41.0,1.12
165,clyde river,90,CA,1520992800,75,70.47,-68.59,-14.81,16.11
166,hofn,92,IS,1520996865,100,64.25,-15.21,39.14,23.85
167,saldanha,92,PT,1520996866,90,41.42,-6.55,48.5,12.55
168,puerto leguizamo,8,CO,1520996867,66,-0.19,-74.78,82.43,3.27
169,sinop,12,TR,1520996867,91,42.03,35.15,50.39,7.74
170,sibolga,44,ID,1520996868,89,1.74,98.78,77.93,2.48
171,halifax,90,CA,1520994600,100,44.65,-63.58,33.8,29.97
172,manokwari,32,ID,1520996869,100,-0.87,134.08,80.18,8.3
173,necochea,0,AR,1520996869,97,-38.55,-58.74,47.15,2.37
174,maniitsoq,80,GL,1520996870,83,65.42,-52.9,15.92,8.63
175,kodiak,1,US,1520992380,47,39.95,-94.76,33.8,8.05
176,upernavik,48,GL,1520996871,97,72.79,-56.15,2.33,3.15
177,vestmannaeyjar,48,IS,1520996871,89,63.44,-20.27,41.21,21.5
178,kidal,0,ML,1520996872,26,18.44,1.41,62.36,3.71
179,moron,40,VE,1520996400,74,10.49,-68.2,80.6,2.93
180,ketchikan,90,US,1520992560,54,55.34,-131.65,57.2,4.7
181,arman,0,RU,1520994600,49,59.7,150.17,1.4,4.47
182,coronado,20,PA,1520996400,78,8.53,-79.9,80.6,8.05
183,kaitangata,64,NZ,1520996874,51,-46.28,169.85,65.96,23.4
184,saint-pierre,75,FR,1520994600,93,48.95,4.24,42.8,8.05
185,kathmandu,40,NP,1520995800,87,27.71,85.32,59.0,2.24
186,fremont,75,US,1520994900,87,37.55,-121.99,57.2,6.93
